"","Age","SS","Wbar","SD_Wbar"
"1",1,37,11.2712886592501,3.40243471752086
"2",2,330,41.4175655341381,15.6537102286849
"3",3,1011,96.8644501862336,20.1838313932096
"4",4,887,162.100274301855,44.7833467818799
"5",5,1196,240.248148095327,64.4022320310443
"6",6,900,322.854902763192,102.796437378738
"7",7,1010,415.215276474192,120.588882825198
"8",8,810,513.375608895908,112.597780266046
"9",9,1004,571.451139116866,101.08436546641
"10",10,736,604.223575147725,93.9318238250487
"11",11,598,639.913573097683,96.0324120915697
"12",12,505,673.631859849564,100.558973900572
"13",13,398,703.483501960759,107.009991696548
"14",14,421,723.442182914038,101.588253000844
"15",15,306,753.661217208879,105.833470862506
"16",16,253,773.668169654977,115.47988638461
"17",17,275,793.16814548798,109.391094865792
"18",18,249,803.72135995413,117.281982281269
"19",19,184,807.346038713859,117.031926361714
"20",20,202,822.868663916371,128.460000818362
"21",21,188,833.166777523767,115.38499419796
"22",22,160,853.809560748191,121.65691946981
"23",23,105,859.088698414902,117.528918269702
"24",24,143,870.537100049983,128.108877162151
"25",25,127,892.628499899912,121.317125390501
"26",26,125,920.725215614561,141.06461357559
"27",27,91,895.343039757973,123.589238283548
"28",28,75,921.061220551066,124.745587755567
"29",29,44,903.618564035539,114.386691891025
"30",30,66,923.804325256114,154.165117792418
"31",31,49,925.751770828904,110.811470248631
"32",32,42,921.808825321304,141.95091837767
