"","q=0.2","q=0.4","q=0.6","q=0.8","q=1","q=1.2","q=1.4","q=1.6","q=1.8","q=2","q=2.2","q=2.4","q=2.6","q=2.8","q=3","q=3.2","q=3.4","q=3.6","q=3.8","q=4"
"M=0.01",339.562,310.215,290.795,280.032,273.776,266.854,262.628,259.452,256.711,254.585,252.941,251.677,250.722,250.02,249.524,NA,NA,NA,NA,NA
"M=0.02",330.9,302.226,283.512,273.5,266.572,261.529,257.757,255.188,252.715,250.816,249.368,248.277,247.478,246.92,246.565,NA,NA,NA,NA,NA
"M=0.03",326.811,298.5,280.162,270.555,263.994,259.264,255.755,253.573,251.263,249.5,248.167,247.177,246.464,245.981,245.692,NA,NA,NA,NA,NA
"M=0.04",324.349,296.281,278.198,268.863,262.551,258.039,254.714,252.817,250.332,248.961,247.711,246.792,246.139,245.707,245.461,NA,NA,NA,NA,NA
"M=0.05",322.691,294.806,276.911,267.778,261.653,257.306,254.123,252.452,250.354,248.767,247.582,246.717,246.111,245.718,245.504,NA,NA,NA,NA,NA
"M=0.06",321.5,293.759,276.013,267.04,261.064,256.848,253.778,251.505,249.813,248.752,247.621,246.801,246.233,245.871,245.682,NA,NA,NA,NA,NA
"M=0.07",320.607,292.987,275.363,266.521,260.667,256.561,253.585,251.395,249.777,248.578,247.755,247.027,246.437,246.101,245.933,NA,NA,NA,NA,NA
"M=0.08",319.918,292.4,274.88,266.149,260.398,256.385,253.49,251.372,250.412,248.991,247.946,247.228,246.687,246.374,246.223,NA,NA,NA,NA,NA
"M=0.09",319.376,291.947,274.516,265.88,260.219,256.286,253.463,251.407,250.559,249.181,248.17,247.458,246.966,246.671,246.535,NA,NA,NA,NA,NA
"M=0.1",318.943,292.1,274.24,265.687,260.104,256.243,253.482,251.483,250.736,249.396,248.417,247.704,247.259,246.982,246.859,NA,NA,NA,NA,NA
"M=0.11",318.593,291.312,274.03,265.551,260.039,256.241,253.536,251.586,250.932,249.626,248.676,247.961,247.561,247.299,247.188,NA,NA,NA,NA,NA
"M=0.12",318.309,291.091,273.872,265.459,260.01,256.269,253.615,251.711,251.14,249.866,248.942,248.223,247.867,247.619,247.518,NA,NA,NA,NA,NA
"M=0.13",318.378,290.916,273.755,265.402,260.009,256.32,253.713,251.85,251.357,249.576,249.213,248.488,248.173,247.938,247.846,NA,NA,NA,NA,NA
"M=0.14",317.887,290.779,273.67,265.373,260.032,256.39,253.826,252,251.58,249.79,249.485,248.753,248.491,248.254,248.17,NA,NA,NA,NA,NA
"M=0.15",317.733,291.189,273.612,265.365,260.072,256.474,253.949,252.158,250.892,250.613,249.757,249.017,248.781,248.567,248.491,NA,NA,NA,NA,NA
