survey,year,species_code,haul_count,catch_count,mean_wgt_cpue,var_wgt_cpue,mean_num_cpue,var_num_cpue,total_biomass,biomass_var,min_biomass,max_biomass,total_pop,pop_var,min_pop,max_pop,akfin_load_date
GOA,2013,30060,548,241,4210.034671257167,479277.4639047827,6666.86227160601,1060642.4933090368,1298443.2,45589096332.78428,871411,1725475,2056167139,100888809601355570,1420907162,2691427116,2023-09-14T19:00:20Z
GOA,2021,30060,529,280,4795.2754819925685,975693.8124353884,7311.820071261399,2292648.1635690774,1478939.5,92808451380.17056,863252,2094627,2255077880,218077764672232540,1311295191,3198860569,2023-09-14T19:00:20Z
GOA,1996,30060,807,323,2569.5770935507885,459736.5596864489,4156.76390473002,1014806.3437603858,771412.6,41434154090.14751,355756,1187069,1247900372,91460297279173310,630350491,1865450253,2023-09-14T19:00:20Z
GOA,2017,30060,536,281,5091.684441630021,1289383.7418235682,7172.197178123946,2041831.360579577,1570358.8,122646784050.74895,854180,2286537,2212021453,194219953165282620,1310781918,3113260988,2023-09-14T19:00:20Z
GOA,2009,30060,823,388,2029.4879054297564,135419.98576378377,3672.159415977211,376363.0117141563,649448.8,13867565648.21704,413928,884970,1175112537,38541126282576790,782474657,1567750417,2023-09-14T19:00:20Z
GOA,2019,30060,541,305,3930.229602609996,282986.1213022867,6706.929213472676,771466.4650280217,1212144.6,26917772097.57136,860222,1564067,2068522688,73382250659426580,1487460239,2649585137,2023-09-14T19:00:20Z
GOA,1999,30060,764,299,2272.0237003969023,1474389.2079521918,3787.5396218793726,3493899.37331628,727063.5,150983542177.92126,0,1566366,1212034916,357789721025695740,0,2504050288,2023-09-14T19:00:20Z
GOA,1987,30060,783,301,761.1166204948022,29948.459125314403,1517.3724143657294,90175.5219818833,241205.8,3007833249.0737815,126802,355610,480875927,9056657377087838,282358667,679393187,2023-09-14T19:00:20Z
GOA,2005,30060,837,372,2390.2660507081464,209950.58254206795,4198.466843361854,532406.3646359748,764900.8,21499806471.41804,471645,1058157,1343536260,54520609875093410,876543284,1810529236,2023-09-14T19:00:20Z
GOA,2007,30060,816,316,2150.5202297537435,127292.55599219573,3499.014251759881,310757.2472958431,688179.8,13035283284.036545,459835,916524,1119707656,31822825140828092,762928592,1476486720,2023-09-14T19:00:20Z
GOA,2001,30060,489,180,3051.899730477502,1013045.4921714622,5392.278101773889,3505337.736686438,673155,49285342915.24825,219825,1126485,1189370111,170537032859241660,346103142,2032637080,2023-09-14T19:00:20Z
GOA,1990,30060,708,309,535.6208847464951,25756.307072855834,1079.9024918718753,66730.42790590491,157295.2,2221176958.987765,59785,254806,317129401,5754710429128133,160175459,474083343,2023-09-14T19:00:20Z
GOA,2011,30060,670,303,2524.74330700617,193038.03874377997,4470.358379397569,583183.0880488885,778669.7,18361868451.904293,507658,1049682,1378727496,55472647856426950,907674854,1849780138,2023-09-14T19:00:20Z
GOA,2015,30060,771,347,3563.6990255458945,305285.4918872151,5528.619521718954,669840.3322445623,1140406.6,31262494795.84863,790319,1490494,1769194594,68594415579308176,1250621989,2287767199,2023-09-14T19:00:20Z
GOA,2023,30060,526,263,5173.363093672145,2280788.8246265687,6954.283815183724,2549985.153312324,1595547.2,216949698810.15692,521462,2669633,2144812696,242555779390079420,1009108798,3280516594,2023-09-14T19:00:20Z
GOA,2003,30060,809,315,1483.1272426440619,54521.66230920247,2532.395585568757,136239.61981037215,457421.5,5186125996.801664,314832,600011,781034208,12959176301080784,555634220,1006434196,2023-09-14T19:00:20Z
GOA,1993,30060,774,303,1646.8575476091123,136869.59971887,2839.6574621224554,331921.43523165287,483622.5,11803384717.439766,260686,706559,833902151,28624299362686192,486730073,1181074229,2023-09-14T19:00:20Z
GOA,1984,30060,929,347,706.7080349662506,32269.30468055401,1506.1696366768106,154347.920448565,220672.3,3146335439.194807,104001,337344,470307875,15049296440712880,215142681,725473069,2023-09-14T19:00:20Z
