"year","obs","pred"
1961,16000,16122.6
1962,65000,66114.4
1963,136300,139308
1964,243400,250374
1965,348600,354060
1966,200800,198043
1967,120000,118872
1968,100200,99831.3
1969,72600,72390.3
1970,44900,44806.3
1971,77500,76848.4
1972,77600,76576
1973,56400,55726.4
1974,51000,50686.1
1975,50400,50348.6
1976,45500,45363.5
1977,21600,21572.7
1978,8000,8010.41
1979,8300,8321.73
1980,10800,10852.8
1981,10500,10568.7
1982,5400,5426.09
1983,2821,2832.74
1984,2752,2764.06
1985,800,804.065
1986,2200,2210.11
1987,4500,4524.77
1988,8540,8608.59
1989,11780,11897.5
1990,13090,13111
1991,6548,6557.59
1992,6538,6546.2
1993,2060,2068.51
1994,1841,1849.35
1995,5741,5758.18
1996,8378,8408.99
1997,9519,9555.08
1998,8908,8940.59
1999,10473,10520
2000,10146,10188.7
2001,10817,10869.1
2002,11734,11783.8
2003,10846,10836.5
2004,11640,11621
2005,11248,11227.6
2006,13595,13553.5
2007,12955,12903.1
2008,12461,12415
2009,12986,12897.8
2010,15616,15480.9
2011,14224,14089.6
2012,14916,14770.1
2013,13181,13105.9
2014,17712,17564.9
2015,18733,18595.6
2016,23034,22824.8
2017,23860,23748
2018,24737,24609.9
2019,25470,25391
2020,25191,25106.9
2021,28187,28190.3
