"yrs","ages","styr_rec"
1961,2,1935
1962,3,NA
1963,4,NA
1964,5,NA
1965,6,NA
1966,7,NA
1967,8,NA
1968,9,NA
1969,10,NA
1970,11,NA
1971,12,NA
1972,13,NA
1973,14,NA
1974,15,NA
1975,16,NA
1976,17,NA
1977,18,NA
1978,19,NA
1979,20,NA
1980,21,NA
1981,22,NA
1982,23,NA
1983,24,NA
1984,25,NA
1985,26,NA
1986,27,NA
1987,28,NA
1988,29,NA
1989,NA,NA
1990,NA,NA
1991,NA,NA
1992,NA,NA
1993,NA,NA
1994,NA,NA
1995,NA,NA
1996,NA,NA
1997,NA,NA
1998,NA,NA
1999,NA,NA
2000,NA,NA
2001,NA,NA
2002,NA,NA
2003,NA,NA
2004,NA,NA
2005,NA,NA
2006,NA,NA
2007,NA,NA
2008,NA,NA
2009,NA,NA
2010,NA,NA
2011,NA,NA
2012,NA,NA
2013,NA,NA
2014,NA,NA
2015,NA,NA
2016,NA,NA
2017,NA,NA
2018,NA,NA
2019,NA,NA
2020,NA,NA
2021,NA,NA
2022,NA,NA
2023,NA,NA
