name,1990,1998,1999,2000,2001,2002,2004,2005,2006,2008,2010,2012,2014,2016,2018,2020,2022
10,0.1205,0.1486,0.0514,0.0565,0.0634,0.1069,0.1813,0.144,0.0826,0.1611,0.1172,0.0882,0.0602,0.0717,0.1219,0.0714,0.0884
11,0.0668,0.1636,0.1865,0.0534,0.06,0.1036,0.0673,0.1159,0.1063,0.1085,0.1459,0.1019,0.0781,0.0498,0.105,0.081,0.0568
12,0.0937,0.1982,0.1897,0.1327,0.0624,0.0544,0.0729,0.077,0.0923,0.0479,0.1186,0.1115,0.0935,0.0591,0.0471,0.064,0.0585
13,0.0653,0.1152,0.1227,0.1281,0.1259,0.0673,0.0676,0.0484,0.0587,0.0926,0.0728,0.0889,0.0769,0.0587,0.0468,0.0565,0.0485
14,0.1022,0.1108,0.0821,0.1121,0.1394,0.098,0.0357,0.0452,0.0339,0.0526,0.057,0.0907,0.064,0.0524,0.0363,0.0415,0.0437
15,0.0431,0.0556,0.1131,0.1063,0.0846,0.0785,0.0364,0.0204,0.0346,0.0431,0.0507,0.0507,0.0743,0.066,0.0346,0.0407,0.041
16,0.0156,0.0294,0.0546,0.0623,0.0857,0.0581,0.0507,0.0305,0.0332,0.0232,0.0398,0.0442,0.0633,0.0792,0.0355,0.0431,0.0228
17,0.0188,0.036,0.0223,0.0532,0.062,0.0589,0.0493,0.0511,0.0215,0.0249,0.0383,0.0502,0.0468,0.0659,0.0524,0.0452,0.0317
18,0.0087,0.0128,0.0173,0.0323,0.0661,0.0329,0.0412,0.0415,0.0409,0.0117,0.0209,0.0346,0.0357,0.0488,0.065,0.0418,0.0318
19,0.0086,0.0137,0.0026,0.0257,0.0391,0.0328,0.0277,0.0317,0.0289,0.0268,0.0137,0.0254,0.041,0.0336,0.0456,0.0475,0.0351
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.0077,0.0017,0.0031,0.0086,0.0167,0.0092,0.0207,0.0254,0.027,0.0275,0.0137,0.023,0.0323,0.0268,0.0361,0.0603,0.0366
21,0.0091,0.0036,0,0.0096,0.0102,0.0018,0.0084,0.0251,0.0312,0.0283,0.0168,0.0151,0.0137,0.033,0.0273,0.0317,0.044
22,0.0025,0.0039,0.0088,0.0102,0.0034,0.0042,0.0075,0.0117,0.0094,0.0261,0.0349,0.0161,0.0206,0.0317,0.0225,0.0347,0.0512
23,0.0043,0.0108,0.0073,0.0042,0.0052,0.0023,0.0076,0.0078,0.0139,0.019,0.011,0.0106,0.0142,0.0198,0.0309,0.0233,0.0349
24,0.0038,0.0018,0,0.0013,0,0.0018,0.0059,0.006,0.0066,0.0133,0.0058,0.0063,0.0195,0.0128,0.0232,0.0215,0.039
25,0.1023,0.0274,0.0104,0.0121,0.0072,0.0091,0.0038,0.0124,0.0113,0.0268,0.0423,0.0683,0.0843,0.0806,0.0841,0.0998,0.1885
3,8e-4,0,0,0,0.0019,0,0,0.0015,0,0,0,0,0,5e-4,0,0.0022,0
4,0.0045,0,0,0.0046,0.0028,0.0021,0.0018,0.0018,0.0015,0.0015,0.0134,0.0218,0.0135,0.0045,0.0073,0.003,7e-4
5,0.0257,0,0.0024,0.0118,0.003,0.0235,0.0068,0.0108,0.0014,0.0033,0.0084,0.03,0.0037,0.0043,0.0102,0.0061,0.0062
6,0.0461,0,0.0209,0.0341,0.0251,0.0162,0.0511,0.0202,0.0485,0.0308,0.0217,0.0207,0.0388,0.0212,0.0419,0.0255,0.016
7,0.091,0.0073,0.0297,0.0222,0.0446,0.0378,0.0399,0.0852,0.0907,0.0329,0.0191,0.025,0.0528,0.0231,0.0057,0.0508,0.015
8,0.0723,0.0103,0.0317,0.0547,0.0287,0.1155,0.0493,0.0833,0.1184,0.0977,0.0683,0.0314,0.0378,0.068,0.0576,0.0541,0.0397
9+,0.0866,0.0493,0.0434,0.0642,0.0627,0.085,0.1673,0.1032,0.1071,0.1004,0.0697,0.0455,0.035,0.0886,0.063,0.0544,0.0699
n_s,578,513,423,825,710,624,964,727,808,625,632,1025,871,1201,1032,1053,1196
n_h,37,49,213,337,268,288,310,242,279,373,419,604,581,790,749,754,881
