item,y1,y2,y3,y4
M (natural mortality),0.074,0.074,0.074,0.074
Tier,3a,3a,3a,3a
Projected total (age 2+) biomass (t),650027,628753,636621,616784
Projected female spawning biomass (t),228030,221384,224627,217806
B100%,343618,343618,343618,343618
B40%,137447,137447,137447,137447
B35%,120266,120266,120266,120266
FOFL,0.12,0.12,0.119,0.119
maxFABC,0.10,0.10,0.099,0.099
FABC,0.10,0.10,0.099,0.099
OFL (t),47466,45835,46526,44793
maxABC (t),39719,38354,38932,37482
ABC (t),39719,38354,38932,37482
blank,NA,NA,NA,NA
Status,2023,2024,2024,2025
Overfishing,NA,NA,NA,NA
Overfished,NA,NA,NA,NA
Approaching overfished,NA,NA,NA,NA
